Name,TwitterHandle,Date,TweetUrl,Text,Location,TimeZone,Language,VizPic,Latitude,Longitude
Peter Empey,PeterEmpey,2018-01-30 02:13:00,https://t.co/85nKrotz2k,"Week 5 of #MakeoverMonday, looking at the Most Profitable Companies of 2016 #dataviz https://t.co/85nKrotz2k https://t.co/YOhrN4u61v","Bountiful, UT",,en,http://pbs.twimg.com/media/DUwSWSoUMAAAjAV.jpg,40.889461100000005,-111.8804817
Candi,MunroeCandi,2018-01-30 02:07:00,https://t.co/uqyBS4Dwvt,Here is my version #MakeoverMonday.  I was risky and went for colour this week:) https://t.co/uqyBS4Dwvt https://t.co/t0ziMI8sAO,"Toronto, Ontario",,en,http://pbs.twimg.com/media/DUwRDkvW4AEqYwc.jpg,43.653963,-79.38720699999999
Adolfo Hernandez,JadolfoHC,2018-01-30 01:43:00,https://t.co/4R9BsmBmLk,#MakeoverMonday WK5 - What the Most Profitable Companies Make per Second @VizWizBI @TriMyData? https://t.co/4R9BsmBmLk,Mexico,,en,,19.4326009,-99.1333416
Jack Horton,JackHorton95,2018-01-29 23:57:00,https://t.co/8dVKFejSls,"Check out my submission for #MakeoverMonday Week 5!

https://t.co/8dVKFejSls https://t.co/tDE4510i5f",,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DUvzSt9WAAAWdYS.jpg,,
Sergey Yasinov,SergeyYas,2018-01-29 23:54:00,https://t.co/nAnhQoUz8D,"#makeovermonday Week 5
https://t.co/nAnhQoUz8D @TriMyData  @VizWizBI https://t.co/YrHJSCYp0C",Israel,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DUvyf37WsAANZFM.jpg,30.8760272,35.0015196
Kyle Yetter,YetterDataViz,2018-01-29 23:29:00,https://t.co/JmwYxUqeNa,#MakeoverMonday looking at how quickly these companies earn your salary https://t.co/JmwYxUqeNa https://t.co/LiwXZbmdWB,,,en,http://pbs.twimg.com/media/DUvtCE1VAAAjaai.jpg,,
Dave Planeaux,DavePlaneaux,2018-01-29 23:21:00,https://t.co/aOWOlQhXFw,Apple makes ~$1 billion in *profit* every 8 days. How do other profit leaders in the F500 compare? #MakeoverMonday? https://t.co/aOWOlQhXFw,"Atlanta, GA",Eastern Time (US & Canada),en,,33.749098700000005,-84.39018490000001
Jeremy Parulian,jparulian_,2018-01-29 23:14:00,https://t.co/LyX4Y8yqef,"For #MakeoverMonday this week, I decided to look at Industries as opposed to Companies. I liked the idea, not posit? https://t.co/LyX4Y8yqef","Dallas, TX",,en,,32.7762719,-96.7968559
Hilda Amalan,Hilda_Amalan,2018-01-29 22:53:00,https://t.co/ojGpBhKHHH,"#MakeoverMonday Week 5- ""The Big Apple, 2016"", @VizWizBI @TriMyData @tableaupublic @tableau @datadotworld? https://t.co/ojGpBhKHHH",Netherlands,,en,,52.2379891,5.534607382000001
UC Fitness Apparel,ucfitonlinept,2018-01-29 22:49:00,https://t.co/lrpwS5jJie,"Let us help you reach your goals, visit https://t.co/lrpwS5jJie today and get your first month free of programming!? https://t.co/gdSHw7enbo",United States,,en,,39.7837304,-100.4458825
Just A Guy Who Supports His Girls Dreams??,eSantosStudios,2018-01-29 22:41:00,https://t.co/CdAAKlzRqr,"Check out Kaits New Video Review of The @LauraMercier Foundation Primer, Translucent Setting Powder and Flawless Fu? https://t.co/CdAAKlzRqr","Westerly, RI",,en,,41.3775996,-71.8272911
Peiyun (Sherry) Shen,peiyun_shen,2018-01-29 22:39:00,https://t.co/Ovfd5zW9lp,"#MakeoverMonday Week 5 - You can find out the net incomes, locations, company sizes, industries and other informati? https://t.co/Ovfd5zW9lp","Philadelphia, PA",,en,,39.952399299999996,-75.1635899
UF Project Makeover,projectmakeover,2018-01-29 22:38:00,https://t.co/rywQmaRFzX,"Here's a little #MakeoverMonday with our Operations Manager, Jordan Walker! If you're feeling inspired, sign up and? https://t.co/rywQmaRFzX","Gainesville, FL",Eastern Time (US & Canada),en,,29.651939600000002,-82.32499609999999
zoverlvx,zoverlvx,2018-01-29 22:34:00,https://t.co/jY6ntaGwrG,"If you think sailors are bad, you've never met a drag queen.
#dragqueens #drag #hunties #sailors #cursewords? https://t.co/jY6ntaGwrG",Digital Nomad,Pacific Time (US & Canada),en,,52.173993200000005,9.9321267
Alex Roth,a13xmr,2018-01-29 22:23:00,https://t.co/3Y8RRkFRiB,#Tableau #MakeoverMonday week 5: What the Most Profitable Companies Make per Second... can't post the link to the i? https://t.co/3Y8RRkFRiB,,,en,,,
Fence&DeckConnection,FDConnection_MD,2018-01-29 22:20:00,https://t.co/LTm03FdZUr,#MakeOverMonday: Look at what a difference low maintenance materials can do for you! Trex Select Woodland Brown dec? https://t.co/LTm03FdZUr,"Veterans Hwy Millersville, MD",Eastern Time (US & Canada),en,,,
Daniel Ling,DanielLing13,2018-01-29 21:59:00,https://t.co/iogVjD4IZM,"#MakeoverMonday @VizWizBI @TriMyData 
Small change to make week 5 mobile friendly @tableaupublic link here:? https://t.co/iogVjD4IZM","Mostly Killarney, Ireland",,en,,,
Adam Green,greenynorfolk,2018-01-29 21:45:00,https://t.co/WqdH5XctZ9,My #MakeoverMonday Wk5 - What the most profitable companies make US$ |   @TriMyData @VizWizBI @tableaupublic? https://t.co/WqdH5XctZ9,"Norwich, England",,en,,52.628606000000005,1.29227
Von Mundorff,VonMundorff,2018-01-29 21:29:00,https://t.co/6KCS8VuKC5,"#MakeoverMonday  Most Profitable companies...per Second.
@VizWizBI @TriMyData @tableau  #mmvizreview 
[Interactive? https://t.co/6KCS8VuKC5",,Pacific Time (US & Canada),und,,,
Jason Olson,mtbiknole,2018-01-29 21:22:00,https://t.co/Yygyjld6W1,#MakeoverMonday Week 5! What if we don't look at pure profit but rather those who are doing the more with less?? https://t.co/Yygyjld6W1,,,en,,,
Chantal Melser,Mongoosita,2018-01-29 21:17:00,https://t.co/QpXP9X7Cpr,Money is made at banking. Still more about learning #Tableau than being creative. #MakeoverMonday Week5? https://t.co/QpXP9X7Cpr,"Nederland, Utrecht.",Amsterdam,en,,52.08095165,5.127680315
Clint Bond,ConcertClint,2018-01-29 21:14:00,https://t.co/gemQWVFQd3,"My #MakeoverMonday | In 2016, these are the top 25 profitable companies per second. How many would have to be taxed? https://t.co/gemQWVFQd3",Kansas,Eastern Time (US & Canada),en,,38.27312,-98.58218719999999
Kevin Kretzmer,kev_viz,2018-01-29 20:35:00,https://t.co/9IrJgL80VX,"@Apple makes $ 1,445 per second!
#MakeoverMonday week 5 2018 #Tableau #mmvizreview
https://t.co/9IrJgL80VX https://t.co/DADx68kGI9",,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DUvEuNEX0AEnwkx.jpg,,
Simon Beaumont,SimonBeaumont04,2018-01-29 20:34:00,https://t.co/7JafWdKB6t,Now this is how you do a visualisation makeover!outstanding visuals and outstanding analysis from @mikevizneros for? https://t.co/7JafWdKB6t,"Portsmouth, England",,en,,50.8036831,-1.0756139999999998
Andrew Garfinkel,agarfinkel215,2018-01-29 20:11:00,https://t.co/YCvCFyzEIK,#MakeoverMonday Wk 5 'What the most profitable companies make per second' https://t.co/YCvCFyzEIK @VizWizBI? https://t.co/e6j2pNSwwg,,,en,,,
Akash,akash_ram,2018-01-29 19:24:00,https://t.co/voWcgLTtBO,"Most profitable companies in the world as per @datadotworld 
for #MakeoverMonday @tableau @tableaupublic @VizWizBI? https://t.co/voWcgLTtBO",India,Chennai,en,,22.3511148,78.6677428
Umar Hassan,umarjourno,2018-01-29 19:23:00,https://t.co/sSh88npJzd,"Another iteration later and #MakeoverMonday Week 5 is in. Thank you everyone for the feedback, really appreciate it? https://t.co/sSh88npJzd","Birmingham, England",London,en,,52.4776875,-1.8948516
Alex (Seals) Ternes,aternes13,2018-01-29 19:16:00,https://t.co/GCWfMAkSAr,The data at the original article would be great #makeovermonday data... https://t.co/GCWfMAkSAr,Kansas,America/Chicago,en,,38.27312,-98.58218719999999
ANUJ MISHRA,anuj_mishra14,2018-01-29 19:09:00,https://t.co/bzoKEnkgzS,"#MakeoverMonday week3: U.S. Household Income Distribution. @tableau 10.5....awesome experience so for. ""Viz in tool? https://t.co/bzoKEnkgzS","Philadelphia, PA",,en,,39.952399299999996,-75.1635899
Andrew Herman,andyth14,2018-01-29 19:08:00,https://t.co/sipBjesrTw,#MakeoverMonday Week 5| How many minutes does it take the Most Profitable Companies to make $1 MILLION in profit?? https://t.co/sipBjesrTw,,Pacific Time (US & Canada),en,,,
Umar Hassan,umarjourno,2018-01-29 19:01:00,https://t.co/WIkvA3GN24,"Made some changes to my #MakeoverMonday Week 5 entry. Thank you @CharlieHTableau &amp; @TriMyData for the feedback, it'? https://t.co/WIkvA3GN24","Birmingham, England",London,en,,52.4776875,-1.8948516
Christine Bianchi,cmbianchi_,2018-01-29 18:54:00,https://t.co/xjlJgMEFX6,"For #MakeoverMonday week 5, find out how your salary compares to the most profitable companies in the world.? https://t.co/xjlJgMEFX6",,,en,,,
Renaissance Dental,nhdentists,2018-01-29 18:43:00,https://t.co/jsBvSMlPKT,It?s #MakeoverMonday at Renaissance Dental Center featuring this awesome Invisalign time-lapse that one of our... https://t.co/jsBvSMlPKT,"North Hills, Raleigh, NC",Eastern Time (US & Canada),en,,35.8395955,-78.65090445
Michael Pawlus,michaelpawlus,2018-01-29 18:35:00,https://t.co/GXBGvwxDV1,You spent your whole life working for it. How long would it take the most profitable major companies to buy the mos? https://t.co/GXBGvwxDV1,"Los Angeles, CA",Central Time (US & Canada),en,,34.054935,-118.244476
Simon Beaumont,SimonBeaumont04,2018-01-29 18:03:00,https://t.co/fPdjFpP3iw,"With so many good #MakeoverMonday vizzes already shared this week I thought I would play &amp; learn a new technique,ra? https://t.co/fPdjFpP3iw","Portsmouth, England",,en,,50.8036831,-1.0756139999999998
sbartels,sb__89,2018-01-29 17:11:00,https://t.co/7HvsG3n2aH,"In a team effort session at @infolabDE in under 1h, I focused on Apples earnings and their dependancy on the iPhone? https://t.co/7HvsG3n2aH",,,en,,,
NilsM,NilsM09,2018-01-29 17:09:00,https://t.co/DGQofgB6GE,Apple makes $1.444 profit per second! How does this rank among the top 25 most profitable companies in the world? F? https://t.co/DGQofgB6GE,"Düsseldorf, Deutschland",,en,,51.2254018,6.7763137
Nish Goel,thevizlover,2018-01-29 17:09:00,https://t.co/QEEg1OWxaT,Hey #MakeoverMonday! It?s been a while...I'm going to try to get back into the swing of things : ) here is my week? https://t.co/QEEg1OWxaT,"West Midlands, England",London,en,,52.50500329999999,-1.9643961230000002
Yanning Wang,yanningwang,2018-01-29 17:08:00,https://t.co/cJD7wCG7lo,#MakeoverMonday 2018Week5 - What the Most Profitable Companies Make per Second in 2016 #Tableau #MMDataCamp? https://t.co/cJD7wCG7lo,"Gainesville, FL",Eastern Time (US & Canada),en,,29.651939600000002,-82.32499609999999
Pradeep?????,pprabaka1,2018-01-29 17:05:00,https://t.co/twBZJwLhYU,@sarahlovesdata @tableaupublic @TriMyData @VizWizBI And Sarah I'd really appreciate if you can share some tips and? https://t.co/twBZJwLhYU,"Jersey City, NJ",,en,,40.7281575,-74.0776417
hhoefele,hhoefele,2018-01-29 17:03:00,https://t.co/onJWVDb9t4,"#MakeOverMonday Thanks for the feedback, @sarahlovesdata! Putting the detail into a #VizInToolTip definitely neaten? https://t.co/onJWVDb9t4","Edison, NJ",,en,,40.5382375,-74.39451735
Paula,paulisDataViz,2018-01-29 17:00:00,https://t.co/dzUZTCUuea,"Week 5 submission #MakeoverMonday, experimenting with sunburst chart  @VizWizBI @TriMyData. Full Viz can be found h? https://t.co/dzUZTCUuea","Methuen Town, MA",,en,,53.140736200000006,-1.1784689
Louise J Heath,LouiseJHeath,2018-01-29 16:30:00,https://t.co/WogocYZc9S,Trying to get back into the swing of #MakeoverMonday. It?s been a while? @VizWizBI @TriMyData? https://t.co/WogocYZc9S,,London,en,,,
Lee Roquet,LJRoquet,2018-01-29 16:20:00,https://t.co/c0aUq5quLX,Our global consultant team has been sharing ways to present and tackle data insights each #MakeoverMonday - follow? https://t.co/c0aUq5quLX,Idaho...,Arizona,en,,43.644764200000004,-114.0154071
Gina Reynolds,EvaMaeRey,2018-01-29 16:10:00,https://t.co/LxHoh9Pgtq,#makeovermonday stretching us again to think about what to do with ranking data.  ?  Chart shows that there are som? https://t.co/LxHoh9Pgtq,,,en,,,
Rebecca Roland,RebeccaJRoland,2018-01-29 15:56:00,https://t.co/LKqyEsWRkD,"sorry @TriMyData @VizWizBI I forgot a graph so updated it, screen shot below ? #MakeOverMonday week 5 submission? https://t.co/LKqyEsWRkD","Worcester, England",,en,,52.191184899999996,-2.2206585
Daniel Ling,DanielLing13,2018-01-29 15:54:00,https://t.co/nx0XQzuYhe,"#MakeoverMonday week 5 @TriMyData @VizWizBI 
Apple made over $5million per hour in profit in 2016, not bad for a da? https://t.co/nx0XQzuYhe","Mostly Killarney, Ireland",,en,,,
Chaitanya Bapat,ChaiBapchya,2018-01-29 15:53:00,https://t.co/3S0X2P6Ksl,Flourish | What Most Profitable Companies make per second | Data Visualisation https://t.co/3S0X2P6Ksl? https://t.co/ZZT3qIrTcs,"Atlanta, GA",Mumbai,en,,33.749098700000005,-84.39018490000001
Curtis Harris,Harris7Curtis,2018-01-29 15:37:00,https://t.co/iYMD24Wv3v,#MakeoverMonday Week 5 @TriMyData @VizWizBI https://t.co/iYMD24Wv3v https://t.co/gmRsUqc0yJ,"Salt Lake City, UT",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DUuAu-rVQAACyKD.jpg,40.7670126,-111.89043079999999
Rebecca Roland,RebeccaJRoland,2018-01-29 15:34:00,https://t.co/VVl397srX6,#MakeoverMonday submission for week 5 @VizWizBI @TriMyData . You can view it here https://t.co/VVl397srX6 https://t.co/fgSvbSQrwz,"Worcester, England",,en,http://pbs.twimg.com/media/DUuAB8MXcAEcmmc.jpg,52.191184899999996,-2.2206585
Ivan,realmodrngenius,2018-01-29 15:05:00,https://t.co/fhi3mo6Iem,"YES!  Thanks to the great job of @realDonaldTrump, our country is ready to lead again.  #MakeoverMonday https://t.co/fhi3mo6Iem","California, USA",Pacific Time (US & Canada),en,,36.7014631,-118.75599740000001
Smudge Chicago,smudgechicago,2018-01-29 15:00:00,https://t.co/9ERFc5sqXx,The days are shorter and the nights are longer in winter? so why not head to the dark side? Book with Smudge Chicag? https://t.co/9ERFc5sqXx,,,en,,,
Anne Drake,DataAnne,2018-01-29 14:47:00,https://t.co/Monyt0zcFP,"My take on #MakeoverMonday Week 5.  Feedback welcome! 

https://t.co/Monyt0zcFP

@VizWizBI @TriMyData #Tableau https://t.co/0KLxlM3dbC","Arizona, USA",,en,http://pbs.twimg.com/media/DUt1XRnUMAE5fMo.jpg,34.395342,-111.76327549999999
Dr. Catrise Austin,DrCatriseAustin,2018-01-29 14:40:00,https://t.co/6aiPlDNoVd,It?s #MakeoverMonday! Today I?m actually going to be the patient. If you following me live you know that I?ve been? https://t.co/6aiPlDNoVd,New York City,Eastern Time (US & Canada),en,,40.7306458,-73.9866136
Kashish Chauhan,KongKash,2018-01-29 14:24:00,https://t.co/toaNf7zo6D,"How much less each company earns compared to Apple? #MakeoverMonday @TriMyData @VizWizBI @tableaupublic 
Link:? https://t.co/toaNf7zo6D","Faridabad, India",,en,,28.402836999999998,77.30856259999999
LM-7,LunarModule7,2018-01-29 14:23:00,https://t.co/sG7HMkiWz9,"#MakeoverMonday Week 5: ???? ??? ???? ?????????? ????????? ???? ??? ?????? https://t.co/sG7HMkiWz9 
Apple?1???1,444? https://t.co/Gx3MxBxaxs",,Tokyo,ja,,,
Rodrigo Calloni,tableauing,2018-01-29 14:09:00,https://t.co/3vwMm6aRJE,Hey @datadotworld it will be great if we could add comments to each post along with the like. Some #makeovermonday? https://t.co/3vwMm6aRJE,"Washington, DC",,en,,38.8949549,-77.03664559999999
Adam Green,greenynorfolk,2018-01-29 13:57:00,https://t.co/8Pv34C72p8,#makeovermonday Wk5 | might be worth working up into something? thoughts welcome | 15min investigation of the data? https://t.co/8Pv34C72p8,"Norwich, England",,en,,52.628606000000005,1.29227
Sarah Burnett,sezbee,2018-01-29 13:56:00,https://t.co/vRSFO1Z0gZ,"#makeovermonday 2018 week 5, What the most profitable companies in 2016 made per second
@TriMyData @VizWizBI? https://t.co/vRSFO1Z0gZ",Singapore,Wellington,en,,1.2904753,103.8520359
Sean Ramsdale,GreyRamAnalytic,2018-01-29 13:52:00,https://t.co/Xr7yZXo5Gz,"@TriMyData @VizWizBI 
Comparison between company profits per employee per week
#MakeoverMonday #Tableau? https://t.co/Xr7yZXo5Gz","Austin, TX",,en,,30.2711286,-97.7436995
graph hopper,graph_hopper,2018-01-29 13:41:00,https://t.co/meiUnO5pVo,"#MakeoverMonday  How-To post complete!
https://t.co/meiUnO5pVo https://t.co/j0hxK1a9kM",,,en,http://pbs.twimg.com/media/DUtl3_1UMAAlnGg.jpg,,
Lindsay Betzendahl,ZenDollData,2018-01-29 13:22:00,https://t.co/VrMSSZaLgg,Week 5 of #makeovermonday - The most profitable companies and how you compare! https://t.co/VrMSSZaLgg #tableau? https://t.co/eNycLnq9PA,CT,Eastern Time (US & Canada),en,,41.6500201,-72.7342163
Chithresh,chithreshsuresh,2018-01-29 13:09:00,https://t.co/caB6YOY41J,#MakeoverMonday Week 5 My submission on How much the Worlds Top most 25 profitable companies make @YellowfinBI? https://t.co/caB6YOY41J,,,en,,,
Tweak It Shop,TweakItShop,2018-01-29 12:52:00,https://t.co/prlgrzR6HB,"#makeovermonday ??
SHOP | https://t.co/prlgrzR6HB https://t.co/2nLzX7Gq6z",Tristate Area,,en,,,
Sarah Bartlett,sarahlovesdata,2018-01-29 12:38:00,https://t.co/So3kSptOVU,Updated #MakeoverMonday week 5. How long did it take the 25-most profitable companies to make the same amount that? https://t.co/So3kSptOVU,"Basingstoke, England",London,en,,51.262826000000004,-1.0861976
Reinhard Tockner,r_tockner,2018-01-29 12:12:00,https://t.co/3oatGmwnr1,"#MakeoverMonday THINK 
https://t.co/3oatGmwnr1 https://t.co/lmkehUckis",,,en,http://pbs.twimg.com/media/DUtR7OVW0AIWugB.jpg,,
Daniel Caroli,Danifornication,2018-01-29 12:08:00,https://t.co/rvID3jLAjW,"All in a Day?s Work

How much do the top 25 most profitable companies earn in 24 hours, and how do they compare to? https://t.co/rvID3jLAjW","Reading, England",London,en,,51.456659,-0.9696511999999999
David O Cinneide,dav1b,2018-01-29 12:08:00,https://t.co/G4H3iGJaqd,"What the most profitable companies make per second &amp; per employee? Apple tops in the per second metric, with financ? https://t.co/G4H3iGJaqd",Singapore,,en,,1.2904753,103.8520359
Chithresh,chithreshsuresh,2018-01-29 11:56:00,https://t.co/nUjxlXvtR6,"#MakeoverMonday Week 5 My submission on How much the Worlds Top most 25 profitable companies make #VizWizBI,? https://t.co/nUjxlXvtR6",,,en,,,
Mark Bradbourne,MarkBradbourne,2018-01-29 11:48:00,https://t.co/c5ip0NMCXf,What the Most Profitable Companies Make per Second #MakeoverMonday https://t.co/c5ip0NMCXf https://t.co/VhrHo3BsEd,"Cleveland, OH",Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DUtMJn0XkAACYTr.jpg,41.5051613,-81.6934446
The Information Lab,infolabUK,2018-01-29 11:34:00,https://t.co/vY5Ei23bdP,"#MakeoverMonday: This week we're looking at corporate profits, more specifically, how much do the most profitable c? https://t.co/vY5Ei23bdP","London, UK",,en,,51.5073219,-0.1276474
Laura Schofield,Schofe23,2018-01-29 11:27:00,https://t.co/D0BrV1Iy3m,@joannaaa @sarahlovesdata @mtedw We're setting up a #MakeoverMonday lunch club here (BYOL) and use webex for those? https://t.co/D0BrV1Iy3m,,,en,,,
Olga Drath,VizDrath,2018-01-29 11:24:00,https://t.co/liZLavws0e,"Ok, here goes my second viz for #MakeoverMonday 
How many weeks would you have to work on a minimum wage to match A? https://t.co/liZLavws0e","Melbourne, Victoria",,en,,-37.814217600000006,144.9631608
Gott,gott9_0,2018-01-29 11:04:00,https://t.co/sRMvuRgxKS,Keep it tiny and simple: #MakeoverMonday : How long does @Apple take to earn what you earn in a year?? https://t.co/sRMvuRgxKS,"Manchester, England",Paris,en,,53.4791301,-2.2441009
Sarah Bartlett,sarahlovesdata,2018-01-29 10:41:00,https://t.co/ZRi7Dxa7dw,"I know some people run #MakeoverMonday internally at work. How do you collaborate, discuss &amp; share vizzes? I?m part? https://t.co/ZRi7Dxa7dw","Basingstoke, England",London,en,,51.262826000000004,-1.0861976
Tushar More,tusharz_more,2018-01-29 10:33:00,https://t.co/osYIRamOgr,"#MakeoverMonday wk-5, How much money some of the wealthiest companies made per second in 2016? @VizWizBI @TriMyData? https://t.co/osYIRamOgr",,New Delhi,en,,,
Klaus Schulte,ProfDrKSchulte,2018-01-29 10:28:00,https://t.co/QiaylLy7RQ,Took a look at the Banking &amp; Finance Industry in my #MakeoverMonday and tried out a slope graph for the first time? https://t.co/QiaylLy7RQ,"Münster, Deutschland",,en,,51.95013170000001,7.61330165
Tom Pilgrem,Tom_Pilgrem,2018-01-29 10:26:00,https://t.co/4T1dCjkl87,My one hour attempt on #MakeoverMonday was cut into by rounding up rouge sheep! Kept it simple this week by looking? https://t.co/4T1dCjkl87,"Plymouth, England",Pacific Time (US & Canada),en,,50.3712659,-4.1425658
koseki,takachat,2018-01-29 10:24:00,https://t.co/fAZIDIVHx7,#MakeoverMonday Week5 2018 - WHAT THE MOST PROFITABLE COMPANIES MAKE PER SECOND | @TriMyData @VizWizBI @tableau? https://t.co/fAZIDIVHx7,,Tokyo,en,,,
The Oyster Shed,OysterShed,2018-01-29 09:46:00,https://t.co/CQv2pUdXRa,It's the final countdown! Our doors will be re-opening in 8 hours! Come and check out The Oyster Shed in its full g? https://t.co/CQv2pUdXRa,5 Angel Lane London EC4R 3AB,Casablanca,en,,51.509871000000004,-0.0891063
Umar Hassan,umarjourno,2018-01-29 09:46:00,https://t.co/NSDSO19tpX,#MakeoverMonday Week 5 - I looked into how much tech companies (#Apple and #Microsoft) were generating in terms of? https://t.co/NSDSO19tpX,"Birmingham, England",London,en,,52.4776875,-1.8948516
Chander Sharma,BeingChander,2018-01-29 09:12:00,https://t.co/5J8G1tg7my,"#Vizno -22

#MakeoverMonday #Week5 

**Most Profitable companies Make per second **... https://t.co/5J8G1tg7my",Pune,New Delhi,en,,18.5203062,73.8543185
Ramesh Kumar,Ramesh0053,2018-01-29 09:11:00,https://t.co/FRiBQOxXEM,#MakeoverMonday - week 5 - it takes Apple less than a minute to make an average American Salary.? https://t.co/FRiBQOxXEM,,,en,,,
AvinashReddyMunnangi,AvinashMReddy,2018-01-29 09:10:00,https://t.co/85JfGJet2B,"#Vizno -26

#MakeoverMonday #Week5 

**Most Profitable companies Make per second **... https://t.co/85JfGJet2B",Hyderabad,,en,,17.3886068,78.46080957
AvinashReddyMunnangi,AvinashMReddy,2018-01-29 09:09:00,https://t.co/SfRl4s5MXb,"#Vizno -26

#MakeoverMonday #Week5 

**Most Profitable companies Make per second **... https://t.co/SfRl4s5MXb",Hyderabad,,en,,17.3886068,78.46080957
Katie Keefe,Katie_Laings,2018-01-29 08:38:00,https://t.co/mlWhdo9Ref,Looking for something colourful? Our #gemstones display is bursting with it! #MakeoverMonday @LaingsJewellers? https://t.co/mlWhdo9Ref,Cardiff,,en,,51.481654600000006,-3.1791934
AvinashReddyMunnangi,AvinashMReddy,2018-01-29 08:27:00,https://t.co/SbsEVwsgJ7,#MakeOverMonday Week5 . **Most Profitable Companies Make per Second ** #MMVizReview @TriMyData @VizWizBI? https://t.co/SbsEVwsgJ7,Hyderabad,,en,,17.3886068,78.46080957
hhoefele,hhoefele,2018-01-29 05:39:00,https://t.co/NhGOdKLy3Y,Here's my #MakeoverMonday Week 5.  Any suggestions? https://t.co/NhGOdKLy3Y https://t.co/SHOunJ0Z1B,"Edison, NJ",,en,http://pbs.twimg.com/media/DUr331fUMAAtRpG.jpg,40.5382375,-74.39451735
Ivan Seow,ivseow,2018-01-29 05:10:00,https://t.co/ZxkVPhzCiE,"you know it's an aus #makeovermonday submission this week when you see ""smashes"" in the chart commentary? https://t.co/ZxkVPhzCiE","Melbourne, Victoria",Melbourne,en,,-37.814217600000006,144.9631608
Rodrigo Calloni,tableauing,2018-01-29 05:01:00,https://t.co/59ERtW2sAH,"#makeovermonday week 5 year 3

Why is SMOKING still a thing?

link: https://t.co/59ERtW2sAH

Made with #tableau

th? https://t.co/ZKDF2F2iWk","Washington, DC",,en,,38.8949549,-77.03664559999999
Emma Urli,EmmaUrliYF,2018-01-29 04:43:00,https://t.co/zIjXoA8tvo,Week 5 submission about the insane profits per second of Fortune 500 companies! It's a great time to work in tech? https://t.co/zIjXoA8tvo,"Melbourne, Victoria",Sydney,en,,-37.814217600000006,144.9631608
Mark Bradbourne,MarkBradbourne,2018-01-29 04:39:00,https://t.co/CLT7VGqcJM,Need some #makeovermonday feedback https://t.co/CLT7VGqcJM I have a version where the Fortune 500 ranking doesn't e? https://t.co/9itINfXbT5,"Cleveland, OH",Eastern Time (US & Canada),en,,41.5051613,-81.6934446
Pradeep?????,pprabaka1,2018-01-29 04:36:00,https://t.co/9rybc83oaJ,@sarahlovesdata @tableaupublic @TriMyData @VizWizBI I'm just starting my #tableau and #MakeoverMonday journey today? https://t.co/9rybc83oaJ,"Jersey City, NJ",,en,,40.7281575,-74.0776417
matthew m. theis,Matthew_Theis,2018-01-29 02:42:00,https://t.co/TpgH8yHYhH,"#makeovermonday was a fun one this week.  This is my first submission to the collaboration, let me know what you th? https://t.co/TpgH8yHYhH","lincoln, NE",Central Time (US & Canada),en,,40.8,-96.66782099999999
Pamela Germain,PamelaGFT9,2018-01-29 01:47:00,https://t.co/AgrWRSH0pG,#MakeoverMonday @TriMyData @VizWizBI @datadotworld The most profitable companies and what they make per second. I a? https://t.co/AgrWRSH0pG,"Chicago, IL",America/Chicago,en,,41.8755546,-87.6244212
adam,datahasbyte,2018-01-29 01:47:00,https://t.co/O24iKwVG1A,Very 1st #MakeoverMonday. Kept to the clock. https://t.co/O24iKwVG1A Looking forward to improving and learning from? https://t.co/U00V2oUpxU,"Columbus, OH",,en,,39.9622601,-83.00070649999999
Jeremy Blaney,JeremyBlaney,2018-01-29 01:39:00,https://t.co/4iPzkII4RS,Week 5's #MakeoverMonday looks at how much money the most profitable companies make per second. I added a personal? https://t.co/4iPzkII4RS,"Charlotte, NC",Eastern Time (US & Canada),en,,35.2270869,-80.8431268
Philip Riggs,PhilipDRiggs,2018-01-29 00:03:00,https://t.co/SQq8Ep8cU5,"#MakeoverMonday w05 Instead of Apple profitability, I focused on the big pharma profits. Gilead Sciences was the sa? https://t.co/SQq8Ep8cU5","Fort Collins, Colorado",Mountain Time (US & Canada),en,,40.5508527,-105.0668085
Sarah Bartlett,sarahlovesdata,2018-01-28 23:42:00,https://t.co/FkMYOKMRmt,#MakeoverMonday Week 5 - How many days did it take the most profitable companies to make the same amount that Apple? https://t.co/FkMYOKMRmt,"Basingstoke, England",London,en,,51.262826000000004,-1.0861976
graph hopper,graph_hopper,2018-01-28 23:14:00,https://t.co/hd7J8LmtjY,"#makeovermonday
I used the original premise of a 'clock' chart, but changed the measurement from dollars to seconds? https://t.co/hd7J8LmtjY",,,en,,,
Jennie Holland,JennieHoll,2018-01-28 22:50:00,https://t.co/KWSLI5qs72,"First Makeover Monday of 2018, showing the world's most profitable companies:
https://t.co/KWSLI5qs72? https://t.co/Ckc8SOzcL4","Nottingham, England",Casablanca,en,,52.9534161,-1.1492773
Karen Hinson,knhinson,2018-01-28 22:02:00,https://t.co/7BXSuuVADO,Week 5 #Tableau #MakeoverMonday How much money do the most profitable companies make per second?? https://t.co/7BXSuuVADO,"Atlanta, GA",Eastern Time (US & Canada),en,,33.749098700000005,-84.39018490000001
